prca,prcw,qtya,qtyw,mon,tues,wed,thurs,speed2,wave2,speed3,wave3,avgprc,totqty,lavgprc,ltotqty,t,lavgp_1,gavgprc,gavgp_1
.62222219,.76666671,1875,2205,1,0,0,0,15,7.5,20,9,.70028597,4080,-.3562665,8.3138523,1,,,
.97222221,1.175,2900,566,0,0,1,0,10,5,20,7.5,1.0053359,3466,.0053217416,8.1507568,2,-.3562665,.36158824,
1.233333,1.475,770,1525,0,0,0,1,10,6,20,4,1.3939178,2295,.33211833,7.7384882,3,.0053217416,.32679659,.36158824
1.928571,1.625,927,943,0,0,0,0,15,6,20,5,1.7754868,1870,.57407463,7.5336938,4,.33211833,.24195629,.32679659
.80312502,.86428571,4220,2665,1,0,0,0,10,3.5,20,3.5,.82679868,6885,-.19019406,8.8371,5,.57407463,-.7642687,.24195629
.88181818,.91428572,4230,1375,0,1,0,0,15,4.5,15,3.5,.88978302,5605,-.11677764,8.6314144,6,-.19019406,.073416419,-.7642687
.76875001,.82999998,3079,1880,0,0,1,0,10,4.5,20,3.5,.79197043,4959,-.23323122,8.5089598,7,-.11677764,-.11645358,.073416419
.82999998,1,945,1240,0,0,0,1,10,4,20,4.5,.92647594,2185,-.076367199,7.6893711,8,-.23323122,.15686402,-.11645358
.6892857,.76153839,7925,1395,0,0,0,0,10,4,15,4.5,.70010036,9320,-.35653159,9.1399183,9,-.076367199,-.28016439,.15686402
1.474074,1.5388891,4895,1898,1,0,0,0,20,12.5,20,3.5,1.4921837,6793,.4002406,8.8236475,10,-.35653159,.75677216,-.28016439
1.616667,1.5,1275,650,0,1,0,0,15,9,45,12.5,1.577273,1925,.45569742,7.5626812,11,.4002406,.055456817,.75677216
1.45,1.511111,1834,636,0,0,1,0,15,7.5,30,12.5,1.4657356,2470,.38235721,7.8119736,12,.45569742,-.073340207,.055456817
1.2791671,1.353125,4295,4522,0,0,0,1,10,4.5,25,9,1.317098,8817,.27543086,9.0844374,13,.38235721,-.10692635,-.073340207
1.2166671,1.26875,3120,1545,0,0,0,0,10,4.5,20,7.5,1.2339164,4665,.21019317,8.4478436,14,.27543086,-.065237686,-.10692635
.88999999,.98636359,4165,3075,1,0,0,0,10,6,25,4,.93092787,7240,-.071573481,8.8873768,15,.21019317,-.28176665,-.065237686
.82999998,.93000001,3250,540,0,1,0,0,10,4,25,6,.844248,3790,-.16930899,8.2401209,16,-.071573481,-.097735509,-.28176665
1.278571,1.25,1730,300,0,0,1,0,15,8,15,6,1.2743487,2030,.24243525,7.6157908,17,-.16930899,.41174424,-.097735509
1.083333,1.233333,1245,1640,0,0,0,1,15,8,20,4,1.1686016,2885,.15580785,7.9672804,18,.24243525,-.086627394,.41174424
1.0625,1.166667,540,660,0,0,0,0,15,7.5,35,8,1.1197919,1200,.11314283,7.0900769,19,.15580785,-.04266502,-.086627394
1,1.25,110,60,1,0,0,0,20,5.5,20,5,1.0882353,170,.084557354,5.1357985,20,.11314283,-.028585479,-.04266502
1.25,1.25,450,650,0,1,0,0,15,5.5,30,4.5,1.25,1100,.22314355,7.0030656,21,.084557354,.13858619,-.028585479
.92500001,.97500002,1670,810,0,0,1,0,10,3,25,5.5,.94133067,2480,-.060460798,7.8160138,22,.22314355,-.28360435,.13858619
.59583342,.74285722,5010,1105,0,0,0,1,10,3.5,20,5.5,.62240112,6115,-.47417051,8.7185001,23,-.060460798,-.4137097,-.28360435
.5,.43000001,3785,3000,0,0,0,0,10,5,20,3,.46904936,6785,-.75704724,8.8224697,24,-.47417051,-.28287673,-.4137097
.42500001,.60000002,1940,840,1,0,0,0,15,5.5,35,6,.47787771,2780,-.7384004,7.9302063,25,-.75704724,.018646836,-.28287673
.5,.25,1680,100,0,1,0,0,15,4,20,6,.48595506,1780,-.72163916,7.4843688,26,-.7384004,.016761243,.018646836
.55833328,.60000002,1145,965,0,0,1,0,15,3,25,5.5,.57738942,2110,-.54923832,7.6544433,27,-.72163916,.17240083,.016761243
.51428568,.55909091,2120,2585,0,0,0,1,10,2.5,15,4,.53890234,4705,-.61822093,8.4563808,28,-.54923832,-.068982601,.17240083
.58333337,.58888888,1690,960,0,0,0,0,10,2.5,15,3,.58534592,2650,-.53555226,7.8823147,29,-.61822093,.082668662,-.068982601
.65909088,.625,4805,2040,1,0,0,0,25,8,20,3,.64893085,6845,-.43242913,8.831274,30,-.53555226,.10312313,.082668662
.3666667,.60000002,1010,60,0,1,0,0,15,8,35,8,.37975082,1070,-.96823996,6.9754138,31,-.43242913,-.53581083,.10312313
.51249999,1.25,585,200,0,0,1,0,12,6.5,35,8,.70039809,785,-.3561064,6.6656837,32,-.96823996,.61213356,-.53581083
1.4875,1.45,2300,1145,0,0,0,1,12,6.5,25,8,1.4750363,3445,.38868257,8.1446791,33,-.3561064,.744789,.61213356
1.432143,1.42,1885,4020,0,0,0,0,10,6.5,18,6.5,1.4238763,5905,.35338295,8.6835546,34,.38868257,-.035299629,.744789
1.386667,1.39,2090,1370,1,0,0,0,15,6.5,20,3.5,1.3879867,3460,.32785425,8.149024,35,.35338295,-.025528699,-.035299629
1.55,1.633333,330,760,0,1,0,0,10,6.5,25,5,1.6081038,1090,.47505569,6.9939332,36,.32785425,.14720145,-.025528699
1.196154,1.35,3040,1420,0,0,1,0,10,4.5,30,6.5,1.2451364,4460,.21924506,8.4029045,37,.47505569,-.25581062,.14720145
.94999999,1.041667,4190,1870,0,0,0,1,15,4.5,15,6.5,.97828668,6060,-.021952519,8.709465,38,.21924506,-.24119759,-.25581062
.515625,.73333329,7420,2235,0,0,0,0,10,5,20,4.5,.5660215,9655,-.56912321,9.175231,39,-.021952519,-.5471707,-.24119759
.4083333,.51999998,6435,1445,0,1,0,0,10,4.5,20,3,.42881024,7880,-.84674078,8.9720831,40,-.56912321,-.27761757,-.5471707
.26666671,.34999999,1430,565,0,0,1,0,10,5,25,4.5,.29026738,1995,-1.2369528,7.5983992,41,-.84674078,-.390212,-.27761757
.3571429,.47499999,1580,1500,0,0,0,1,12,5,15,4.5,.41454083,3080,-.88058382,8.0326853,42,-1.2369528,.35636896,-.390212
.42142859,.54374999,4195,1330,0,0,0,0,12,4,18,5,.4508743,5525,-.79656667,8.6170387,43,-.88058382,.084017158,.35636896
.4666667,.57499999,1020,1200,1,0,0,0,5,4,20,4,.52522522,2220,-.64392811,7.7052627,44,-.79656667,.15263855,.084017158
.43333331,.5,1220,300,0,1,0,0,10,5.5,10,3.5,.44649121,1520,-.80633557,7.3264656,45,-.64392811,-.16240746,.15263855
.79285723,.83333331,1570,305,0,0,1,0,15,6,15,4,.79944134,1875,-.22384213,7.5363641,46,-.80633557,.58249342,-.16240746
1.183333,1.227778,550,875,0,0,0,1,15,8,25,5.5,1.2106237,1425,.19113572,7.2619271,47,-.22384213,.41497785,.58249342
1.33125,1.2166671,1140,1340,0,0,0,0,15,8,25,6,1.2693383,2480,.23849571,7.8160138,48,.19113572,.047359988,.41497785
1.133333,1.1125,1040,1935,1,0,0,0,15,6,20,4,1.1197828,2975,.11313474,7.9979992,49,.23849571,-.12536097,.047359988
1.041667,1.064286,410,1300,0,1,0,0,10,4.5,30,6,1.0588627,1710,.057195395,7.4442487,50,.11313474,-.055939347,-.12536097
.77307701,.7681818,4320,2820,0,0,1,0,10,4.5,15,6,.77114362,7140,-.25988066,8.8734684,51,.057195395,-.31707606,-.055939347
.78333342,.78181821,3440,3420,0,0,0,1,5,4,20,4.5,.78257805,6860,-.24516162,8.8334627,52,-.25988066,.014719039,-.31707606
.58571428,.64285707,3620,1153,0,0,0,0,5,3.5,20,4.5,.59951812,4773,-.5116291,8.4707308,53,-.24516162,-.26646748,.014719039
.41249999,.44833329,2800,6800,1,0,0,0,10,5.5,15,3.5,.43788192,9600,-.82580602,9.1695185,54,-.5116291,-.31417692,-.26646748
.60000002,.70714277,5940,1300,0,1,0,0,10,3.5,30,5.5,.61923838,7240,-.47926497,8.8873768,55,-.82580602,.34654105,-.31417692
.77222222,.87,2320,540,0,0,1,0,10,5,15,5.5,.79068375,2860,-.2348572,7.9585767,56,-.47926497,.24440777,.34654105
.7166667,.74800003,3075,2900,0,0,0,1,20,6.5,15,3.5,.73187453,5975,-.31214619,8.6953392,57,-.2348572,-.077288985,.24440777
.68333328,.69444442,1120,950,0,0,0,0,25,6.5,25,5,.68843257,2070,-.37333789,7.635304,58,-.31214619,-.061191708,-.077288985
.60000002,.6388889,1560,2980,1,0,0,0,15,3.5,20,6.5,.62552619,4540,-.46916208,8.420682,59,-.37333789,-.095824182,-.061191708
.50833333,.62142849,3380,2690,0,1,0,0,15,4,20,4,.5584529,6070,-.58258498,8.7111139,60,-.46916208,-.1134229,-.095824182
.91666669,1,630,620,0,0,1,0,15,5,20,3.5,.958,1250,-.042907495,7.130899,61,-.58258498,.5396775,-.1134229
1.083333,1.15625,1500,1305,0,0,0,1,10,5,15,4,1.117257,2805,.11087658,7.9391589,62,-.042907495,.15378407,.5396775
.60000002,.59545457,1460,3050,0,0,0,0,10,8,25,5,.59692603,4510,-.51596206,8.414052,63,.11087658,-.62683862,.15378407
.69999999,1,335,950,1,0,0,0,5,3,18,8,.92178988,1285,-.081437975,7.158514,64,-.51596206,.43452409,-.62683862
